iter	Passed	Remaining
678	31589	14934
679	31625	14882
680	31659	14830
681	31692	14777
682	31728	14726
683	31774	14679
684	31822	14633
685	31878	14591
686	31914	14540
687	31961	14494
688	32009	14448
689	32056	14402
690	32090	14350
691	32125	14298
692	32161	14247
693	32206	14200
694	32242	14149
695	32282	14100
696	32329	14054
697	32379	14009
698	32425	13962
699	32474	13917
700	32524	13872
701	32586	13832
702	32631	13785
703	32679	13740
704	32744	13701
705	32783	13652
706	32818	13600
707	32852	13549
708	32900	13503
709	32935	13452
710	32971	13402
711	33014	13354
712	33048	13302
713	33096	13257
714	33131	13206
715	33163	13154
716	33197	13102
717	33236	13053
718	33271	13003
719	33315	12956
720	33351	12905
721	33393	12857
722	33425	12806
723	33476	12761
724	33520	12714
725	33568	12669
726	33615	12623
727	33671	12580
728	33705	12529
729	33742	12479
730	33786	12433
731	33833	12387
732	33869	12337
733	33902	12286
734	33951	12241
735	33998	12195
736	34037	12146
737	34071	12095
738	34105	12045
739	34140	11995
740	34186	11948
741	34226	11900
742	34258	11849
743	34301	11802
744	34335	11752
745	34385	11707
746	34432	11661
747	34468	11612
748	34504	11562
749	34541	11513
750	34587	11467
751	34634	11422
752	34680	11375
753	34715	11326
754	34761	11280
755	34807	11234
756	34854	11188
757	34918	11148
758	34967	11103
759	35020	11059
760	35071	11014
761	35109	10965
762	35145	10916
763	35186	10868
764	35231	10822
765	35288	10779
766	35324	10730
767	35357	10680
768	35391	10631
769	35437	10585
770	35471	10535
771	35507	10486
772	35541	10437
773	35603	10395
774	35638	10346
775	35679	10299
776	35740	10257
777	35775	10208
778	35809	10159
779	35844	10109
780	35877	10060
781	35910	10010
782	35945	9961
783	35979	9912
784	36013	9863
785	36045	9813
786	36078	9764
787	36122	9718
788	36159	9670
789	36204	9624
790	36247	9577
791	36288	9530
792	36319	9480
793	36363	9434
794	36397	9385
795	36430	9336
796	36467	9288
797	36501	9239
798	36537	9191
799	36582	9145
800	36624	9099
801	36658	9050
802	36710	9006
803	36759	8961
804	36804	8915
805	36871	8874
806	36915	8828
807	36961	8782
808	37007	8737
809	37041	8688
810	37078	8640
811	37137	8598
812	37174	8550
813	37224	8505
814	37259	8457
815	37309	8413
816	37356	8367
817	37402	8321
818	37439	8274
819	37476	8226
820	37511	8178
821	37561	8133
822	37595	8085
823	37630	8037
824	37675	7991
825	37709	7943
826	37752	7897
827	37798	7851
828	37842	7805
829	37873	7757
830	37921	7712
831	37956	7664
832	38017	7621
833	38050	7573
834	38099	7528
835	38150	7483
836	38183	7436
837	38227	7390
838	38264	7342
839	38311	7297
840	38349	7250
841	38384	7202
842	38423	7155
843	38468	7110
844	38515	7064
845	38561	7019
846	38609	6974
847	38645	6927
848	38688	6880
849	38735	6835
850	38781	6790
851	38827	6744
852	38880	6700
853	38920	6653
854	38964	6607
855	38998	6560
856	39048	6515
857	39080	6467
858	39114	6420
859	39147	6372
860	39184	6325
861	39219	6278
862	39259	6232
863	39296	6185
864	39340	6139
865	39382	6093
866	39415	6046
867	39448	5999
868	39483	5951
869	39526	5906
870	39566	5859
871	39611	5814
872	39646	5767
873	39681	5720
874	39716	5673
875	39759	5628
876	39793	5581
877	39829	5534
878	39881	5490
879	39918	5443
880	39957	5397
881	40005	5352
882	40055	5307
883	40104	5262
884	40151	5217
885	40185	5170
886	40230	5125
887	40262	5078
888	40294	5031
889	40327	4984
890	40362	4937
891	40396	4891
892	40429	4844
893	40475	4799
894	40509	4752
895	40543	4705
896	40576	4659
897	40642	4616
898	40676	4569
899	40711	4523
900	40744	4476
901	40777	4430
902	40810	4383
903	40852	4338
904	40902	4293
905	40949	4248
906	40984	4202
907	41019	4156
908	41052	4109
909	41087	4063
910	41129	4018
911	41163	3971
912	41196	3925
913	41233	3879
914	41266	3833
915	41310	3788
916	41343	3742
917	41377	3696
918	41409	3649
919	41443	3603
920	41478	3557
921	41522	3512
922	41556	3466
923	41589	3420
924	41637	3375
925	41681	3330
926	41715	3285
927	41761	3240
928	41794	3194
929	41829	3148
930	41877	3103
931	41909	3057
932	41955	3012
933	41986	2966
934	42033	2922
935	42067	2876
936	42101	2830
937	42136	2785
938	42180	2740
939	42224	2695
940	42286	2651
941	42321	2605
942	42368	2560
943	42402	2515
944	42436	2469
945	42468	2424
946	42516	2379
947	42555	2334
948	42593	2289
949	42642	2244
950	42688	2199
951	42720	2153
952	42755	2108
953	42805	2063
954	42839	2018
955	42874	1973
956	42923	1928
957	42958	1883
958	43005	1838
959	43039	1793
960	43073	1748
961	43106	1702
962	43163	1658
963	43198	1613
964	43234	1568
965	43266	1522
966	43299	1477
967	43331	1432
968	43366	1387
969	43400	1342
970	43453	1297
971	43486	1252
972	43534	1208
973	43567	1162
974	43611	1118
975	43644	1073
976	43679	1028
977	43714	983
978	43748	938
979	43794	893
980	43839	849
981	43886	804
982	43935	759
983	43969	714
984	44010	670
985	44058	625
986	44096	580
987	44132	536
988	44164	491
989	44208	446
990	44256	401
991	44290	357
992	44334	312
993	44366	267
994	44410	223
995	44445	178
996	44479	133
997	44525	89
998	44569	44
999	44604	0
